"plu_balanza","nombre","precio_venta","codigo_barra_externo","mg"
"409","OMO DETERG. LIQUIDO 1L","3550","0040900000","25"
"410","OMO MATIC 400G","1400","0041000000","25"
"411","OMO LAVADO A MANO 400G","1300","0041100000","25"
"412","BIO FRESCURA BOSQUE 800G","2000","0041200000","25"
"413","OMO MATIC 800G","2650","0041300000","25"
"414","BIO FRESCURA DESIERTO 800G","2000","0041400000","25"
"415","BIO FRESCURA CAMPOS HIELO 400G","1250","0041500000","25"
"416","TOALLITAS PILUCHO 100UNI","2100","0041600000","25"
"417","CLEAN BOLSAS ASEO 70X90","1250","0041700000","25"
"418","JABON GLICERINA TRIANON","1650","0041800000","25"
"419","KRAC CERA TIERRA COLOR 300CC","1300","0041900000","25"
"420","JABON POPEYE BLANCO 170G","1350","0042000000","25"
"421","CERA BRILLINA INCOLORA 360","1500","0042100000","25"
"422","LYSOFORM ORIGINAL 285ML","3890","0042200000","25"
"423","LYSOFORM ORIGINAL 360ML","4200","0042300000","25"
"424","CLORINDA CLORO CONCENTRADO 1K","1400","0042400000","25"
"425","CLORINDA CLORO GEL ORIG 900ML","1900","0042500000","25"
"426","BOLSA CON ASAS SUPERIOR 50X65","600","0042600000","25"
"427","BOLSA SUPERIOR CHICA 50X70","650","0042700000","25"
"428","CLEAN BOLSA ASEO 50X70","650","0042800000","25"
"429","VIRUTEX BOLSA 70X90","1390","0042900000","25"
"430","JABON POPEYE CLASICO 170G","1300","0043000000","25"
"431","SHAMPOO BALLERINA MICELAR 750M","1800","0043100000","25"
"432","DETERGENTE POPEYE HIPOAL 800ML","4280","0043200000","25"
"433","LS JABON LIQUIDO AVENA 750ML","1950","0043300000","25"
"434","TRAPERO HUMEDO NOVA 10UN","3350","0043400000","25"
"435","BALLERINA JABON LIQ COCJAZ 750","1950","0043500000","25"
"436","SHAMPOO MANZANILLA LS","1950","0043600000","25"
"437","TOALLITAS HUMEDAS BABYSEC 45UN","1800","0043700000","25"
"438","BALLERINA ACOND LARGO 750ML","1800","0043800000","25"
"439","POETT FLORES 900ML","2850","0043900000","25"
"440","LYSOL MARINA 900ML","1950","0044000000","25"
"441","POETT LAVANDA 900ML","2850","0044100000","25"
"442","JABON BARRA ELITE 90G","790","0044200000","25"
"443","JABON BARRA PROTEX ALOE 125G","1200","0044300000","25"
"444","GLADE MANZ Y CANELA 275ML","2150","0044400000","25"
"445","GLADE CAMPOS LAVANDA 275ML","2150","0044500000","25"
"446","CERA BRILLINA TIERRA COL 340ML","1850","0044600000","25"
"447","AXE APOLLO 150 ML","2750","0044700000","25"
"448","AXE MARINE 150ML","2650","0044800000","25"
"449","POETT FLORES PRIMAVERA 485ML","1100","0044900000","25"
"450","LYSOL LIMON 900ML","1950","0045000000","25"
"451","LYSOL MANZANA 900ML","1950","0045100000","25"
"452","DESINFECTANTE LYSOFORM 900ML","2300","0045200000","25"
"453","POETT MUSICA PRIMAVERA 485ML","1100","0045300000","25"
"454","BALLERINA ACOND MANZANILLA 750","1800","0045400000","25"
"455","QUIX ORIGINAL 750ML","2200","0045500000","25"
"456","POETT FRESCURA LAVANDA 485ML","1100","0045600000","25"
"457","PANTENE SHAMPOO RESTAUR 200ML","1700","0045700000","25"
"458","GLADE ENCANTO VAINILLA 360ML","2600","0045800000","25"
"459","CERA BRILLINA AMARILLA 340ML","1850","0045900000","25"
"460","VIRUTILLA MEDIANA MANLAC","950","0046000000","25"
"461","CERA BRILLINA ROJA 340ML","1850","0046100000","25"
"462","COLGATE MAX PROTEC 75ML","1750","0046200000","25"
"463","PEPSODENT TRIPLE+ 90G","1850","0046300000","25"
"464","POETT SOLO PARA TI 250ML","750","0046400000","25"
"465","PAPEL HIGIEN NOBLE 28M","400","0046500000","25"
"466","CLOROX ROPA COLOR 370G","1000","0046600000","25"
"467","POETT FLORES PRIMAVERA 250ML","750","0046700000","25"
"468","CLOROX ROPA BLANCA 370G","990","0046800000","25"
"469","CLORINDA CLORO CONCENT 500G","1250","0046900000","25"
"470","CLORINDA CLORO GEL 250G","790","0047000000","25"
"471","CLORINDA CLORO CONCENTR 250G","600","0047100000","25"
"472","CLORINDA CLORO GEL ORIG 500ML","1260","0047200000","25"
"473","POETT FRESCURA LAVANDA 250ML","750","0047300000","25"
"474","QUIX CONCENTRADO 200ML","900","0047400000","25"
"475","PANTENE SHAMPOO HIDR EXT 400ML","4290","0047500000","25"
"476","LYSOL FLORES JARDIN 900ML","1950","0047600000","25"
"477","WYN ANTIGRASA 450ML","1390","0047700000","25"
"478","WYN VIDRIOS Y MULTIUSO 450ML","1390","0047800000","25"
"479","MR MUSCULO COCINA ANTIG 450ML","2450","0047900000","25"
"480","PANTENE SHAMPOO COLAGENO 300ML","3890","0048000000","25"
"481","CINTA DE REGALO AUTOARMABLE","100","0048100000","25"
"482","QUIX CONCENTRADO 3X 1500ML","4950","0048200000","25"
"483","BETUN PASTA VIRGINIA CAFE","1850","0048300000","25"
"484","SERVILLETAS ELITE 50UN","490","0048400000","25"
"485","SERVILLETAS ABOLENGO 40UN","360","0048500000","25"
"486","SERVILLETAS NOVA CLASICA","400","0048600000","25"
"487","BOLSA GIGANTE 110X120","6450","0048700000","25"
"488","BOLSA GRANDE CLEAN 80X110","1650","0048800000","25"
"489","BOLSA CARGA PESADA SUP 80X120","3450","0048900000","25"
"490","TOALLAS PAPEL DOBL ELITE 200UN","1500","0049000000","25"
"491","VIRUTILLA GRUESA GRAND VIRUTEX","2450","0049100000","25"
"492","LUSTRA MUEB LAVAN VIRGINIA 250","1790","0049200000","25"
"493","MULTIUSO LISA VIRUTEX 4UN","1000","0049300000","25"
"494","ALUPLAST ALUSA 15MTS","1050","0049400000","25"
"495","BETUN LIQUIDO NEUTRO VIRG 60ML","2270","0049500000","25"
"496","SCHICK XTREME3 PIEL SENSIBLE 1","890","0049600000","25"
"497","PRESTOBARBA 3 GILLETTE","1110","0049700000","25"
"498","PERROS PARA ROPA 24UN","790","0049800000","25"
"499","PA O ESPONJA CLEAN 1UN","1000","0049900000","25"
"500","ESPONJA DORADA COBRE VIRUTEX","1850","0050000000","25"
"501","PASTILLA ESTANQUE DONA GABY","1100","0050100000","25"
"502","ESPONJA MULTIUSO DONA GABY","500","0050200000","25"
"503","ESPONJA DOBLE USO VIRUTEX","500","0050300000","25"
"504","SOFT CLASSIC 1L","2300","0050400000","25"
"505","CIF CREMA MULTIUSO 500ML","2050","0050500000","25"
"506","ELITE ULTRA ABSORBENTE 20MTS","1650","0050600000","25"
"507","PANO REUTIL ANTIBACTERIAL 48UN","1850","0050700000","25"
"508","TOALLA PAPEL ABOLENGO 3ROLLOS","1400","0050800000","25"
"509","WYN ANTIGRASA 750ML","3200","0050900000","25"
"510","WYN VIDRIOS Y MULTIUSO 750ML","3200","0051000000","25"
"511","RAID MATA HORMIGAS 339G","3750","0051100000","25"
"512","RAID TODO INSECTO 222G","5600","0051200000","25"
"513","ACTIVECLORO VIM 75ML","220","0051300000","25"
"514","PERLAS  GOJI ALOE SOFT 100G","2200","0051400000","25"
"515","CIF CREMA ORIGINAL 80G","1000","0051500000","25"
"516","RAID CASA JARDIN 360","3500","0051600000","25"
"517","RAID CASA JARDIN 235","2590","0051700000","25"
"518","RAID SIN OLOR 145G","3300","0051800000","25"
"519","RAID MAX 198G","2350","0051900000","25"
"520","RAID INSECTICIDA POLILLA 335G","3900","0052000000","25"
"521","RAID INSECTICIDA POLILLA 221G","6700","0052100000","25"
"522","TANAX MATA INSECTOS 220CC","2560","0052200000","25"
"523","TANAX MOSCAS ZANCUDOS 440CC","2950","0052300000","25"
"524","BAYGON CUCARACHAS Y ARA AS 450","3650","0052400000","25"
"525","TRAPEROS HUM VIRGINIA LAV 10UN","3100","0052500000","25"
"526","MULTIUSO LIMP PROFUNDA ALGODON","1000","0052600000","25"
"527","ROLLOS ACERO JABON VIRUTEX 4UN","1400","0052700000","25"
"528","MAGO PADS VIRUTEX 6UN","1590","0052800000","25"
"530","SUPER LAC SIN JABON","350","0053000000","25"
"531","SCOTT AROMAS 6 ROLLOS","2000","0053100000","25"
"532","DETERGENTE LIQ PERLADO 5LTS","2500","0053200000","25"
"533","ESCOBILLON CLORINDA","3050","0053300000","25"
"534","TRAPERO ABORBENTE CLEAN","1400","0053400000","25"
"535","PRESTOBARBA BIC SENSITIVE","300","0053500000","25"
"536","SCHICK EXACTA 2","1000","0053600000","25"
"537","SCHICK 2 HOJAS","350","0053700000","25"
"538","SCHICK QUATTRO 4 MUJER","1100","0053800000","25"
"539","PRESTOBARBA WILKINSON","590","0053900000","25"
"540","PRESTOBARBA VENUS","1250","0054000000","25"
"541","SCHICK QUATTRO 4 TITANIUM","1200","0054100000","25"
"542","PRESTOBARBA GILLETTE 2","1000","0054200000","25"
"543","PAPEL HIG NOBLE 6 ROLLOS","1550","0054300000","25"
"544","PAPEL HIGIENICO FLORAX 4R","1100","0054400000","25"
"545","CONFORT 50MTS UNIDAD","800","0054500000","25"
"546","PAPEL HIGIENICO SCOTT 4R","1200","0054600000","25"
"547","PAPEL TOALLA MULTIUSO SCOTT","2790","0054700000","25"
"548","KOTEX ULTRAFINA MALLA 16U","3450","0054800000","25"
"549","KOTEX CUIDADO AVANZADO 10U","1200","0054900000","25"
"550","NOSOTRAS NORMAL ULTRADEL 8U","850","0055000000","25"
"551","KOTEX ULTRAFINA NOCT 15U","3200","0055100000","25"
"552","KOTEX PROTECTOR DIARIO 40U","1690","0055200000","25"
"553","KOTEX EXTRA PROTECCION 8U","1050","0055300000","25"
"554","KOTEX TAMPONES SUPER 8U","3370","0055400000","25"
"555","FIORELLA NORMAL C/ALAS 8U","850","0055500000","25"
"556","FIORELLA NOCTURNA  C/ALAS 8U","850","0055600000","25"
